company_name,company_type,company_size,job_Name,employee_type,edu_level,working_year,salary,job_url
北京云族佳科技有限公司,民营,100-499人,python开发,全职,大专,1-3年,10K-15K,https://jobs.zhaopin.com/CC599223521J00109402509.htm
深圳市编玩边学教育科技有限公司,股份制企业,100-499人,Python课程设计师/双休/五险一金,全职,本科,1-3年,5K-8K,https://jobs.zhaopin.com/CC703291527J00360962601.htm
深圳市编玩边学教育科技有限公司,股份制企业,100-499人,Python编程老师/兼职/实习,兼职/临时,本科,不限,2K-4K,https://jobs.zhaopin.com/CC703291527J00216077701.htm
京北方信息技术股份有限公司,民营,10000人以上,Python开发工程师-武汉-01744,全职,大专,3-5年,9K-13K,https://jobs.zhaopin.com/CC315847111J00135784913.htm
北京云族佳科技有限公司,民营,100-499人,Python高级开发工程师,全职,本科,5-10年,15K-25K,https://jobs.zhaopin.com/CC599223521J00154850209.htm
深圳乐通信息技术有限公司,民营,100-499人,Python开发工程师,全职,大专,1-3年,8K-10K,https://jobs.zhaopin.com/CC846360690J00326484306.htm
武汉天喻信息产业股份有限公司,上市公司,1000-9999人,Python开发工程师,全职,本科,3-5年,7K-11K,https://jobs.zhaopin.com/CC131956947J00415653207.htm
北京云族佳科技有限公司,民营,100-499人,高级python开发工程师,全职,本科,3-5年,15K-25K,https://jobs.zhaopin.com/CC599223521J00142962209.htm
北京千锋互联科技有限公司,民营,500-999人,Python讲师,全职,大专,5-10年,20K-30K,https://jobs.zhaopin.com/CC390261416J00128908809.htm
京北方信息技术股份有限公司,民营,10000人以上,Python开发工程师-武汉-01745,全职,大专,5-10年,10K-15K,https://jobs.zhaopin.com/CC315847111J00135501613.htm
武汉市星商电子商务有限公司,民营,500-999人,python开发工程师,全职,本科,3-5年,8K-15K,https://jobs.zhaopin.com/CC877351700J00368001603.htm
深圳市长亮科技股份有限公司,上市公司,1000-9999人,银行SAS/R/PYTHON数据分析挖掘建模岗,全职,本科,不限,10K-20K,https://jobs.zhaopin.com/CC120564550J00080758008.htm
武汉奥浦信息技术有限公司,民营,20-99人,python开发工程师,全职,大专,1-3年,7K-10K,https://jobs.zhaopin.com/CC465262917J00318634704.htm
武汉青凌未来科技有限公司,外商独资,20人以下,赴日Python开发工程师,全职,大专,不限,13K-26K,https://jobs.zhaopin.com/CC864094980J00399292803.htm
武汉乐谷在线科技有限公司,民营,20-99人,Python程序员,全职,大专,3-5年,5K-10K,https://jobs.zhaopin.com/674233728250000.htm
湖北外服金财税咨询有限公司,民营,20-99人,python、Flask开发实习生（6-12月份）国企,实习,大专,无经验,30K-50K,https://jobs.zhaopin.com/CC824625440J00399075801.htm
深圳华云声信息技术有限公司,民营,100-499人,python开发工程师,全职,本科,5-10年,10K-15K,https://jobs.zhaopin.com/CC853079250J00285290006.htm
武汉楚精灵医疗科技有限公司,股份制企业,20-99人,Python开发工程师,全职,本科,1-3年,8K-15K,https://jobs.zhaopin.com/CC842158520J00421533205.htm
武汉学链科技有限公司,民营,20-99人,python讲师,全职,本科,1-3年,8K-10K,https://jobs.zhaopin.com/CZ602015680J00434185601.htm
武汉维普科技有限公司,民营,20-99人,python开发工程师,全职,学历不限,不限,6K-8K,https://jobs.zhaopin.com/649151124250027.htm
汉谷云智(武汉)科技有限公司,股份制企业,20-99人,python软件开发工程师,全职,本科,1-3年,5K-10K,https://jobs.zhaopin.com/CC559899230J00233183204.htm
武汉昱然智能科技有限公司,民营,20-99人,python开发工程师,全职,本科,1-3年,6K-8K,https://jobs.zhaopin.com/CZ634723730J00056858306.htm
北京青蓝致远科技有限公司,股份制企业,100-499人,python开发,全职,大专,1-3年,6K-8K,https://jobs.zhaopin.com/CZ700010280J00153094615.htm
智邦大陆科技有限公司,外商独资,100-499人,python软件开发工程师,全职,本科,3-5年,8K-14K,https://jobs.zhaopin.com/CC000647681J00465020401.htm
武汉青凌未来科技有限公司,外商独资,20人以下,赴日Python开发,全职,大专,不限,14K-26K,https://jobs.zhaopin.com/CC864094980J00393817203.htm
武汉芯云道数据科技有限公司,民营,20-99人,python工程师,全职,本科,1-3年,5K-10K,https://jobs.zhaopin.com/CC650430830J00290417604.htm
北京九州瀚诺企业管理有限公司,民营,100-499人,python开发工程师,全职,本科,1-3年,10K-15K,https://jobs.zhaopin.com/CC465263330J00169148409.htm
深圳房讯通信息技术有限公司,民营,100-499人,python工程师,全职,本科,5-10年,10K-15K,https://jobs.zhaopin.com/CC380517819J00324488706.htm
北京智扬通达科技有限公司,民营,100-499人,python开发工程师,全职,大专,3-5年,8K-10K,https://jobs.zhaopin.com/CC483542232J00046570110.htm
深圳华大基因股份有限公司,民营,1000-9999人,软件开发高级工程师(Python),全职,本科,3-5年,10K-15K,https://jobs.zhaopin.com/CC306818180J00368668903.htm
深圳市德科信息技术有限公司杭州分公司,股份制企业,1000-9999人,python开发工程师（数据处理方向）,全职,大专,1-3年,6K-8K,https://jobs.zhaopin.com/CC506215833J00187070908.htm
大连东软睿道教育信息服务有限公司,民营,1000-9999人,python讲师,全职,本科,5-10年,15K-20K,https://jobs.zhaopin.com/CC533963426J00267946107.htm
北京蓝海略科技有限责任公司,民营,20-99人,python开发工程师,全职,本科,3-5年,13K-20K,https://jobs.zhaopin.com/CC120887437J00055776911.htm
比自特株式会社,外商独资,20-99人,"对日软件开发(SAP,IOS,Python)",全职,本科,3-5年,12K-24K,https://jobs.zhaopin.com/CC645926286J00260824205.htm
贵阳高登世德金融科技有限公司,民营,100-499人,金融数据Python开发工程师（武汉）,全职,本科,1-3年,8K-15K,https://jobs.zhaopin.com/CC303394234J00268707208.htm
武汉睿舟海铭企业管理咨询有限公司,民营,100-499人,python开发工程师,全职,学历不限,不限,8K-16K,https://jobs.zhaopin.com/CC620816236J00250591508.htm
武汉楚风文化信息咨询有限公司,民营,100-499人,python开发工程师,全职,学历不限,不限,8K-16K,https://jobs.zhaopin.com/CC262818310J00250887808.htm
武汉编程猫科技有限公司,民营,1000-9999人,"少儿编程老师（C,Java,python,Scratch等）",全职,本科,不限,8K-16K,https://jobs.zhaopin.com/CC841622620J00383184507.htm
武汉市惊叹号科技有限公司,民营,20人以下,python后端工程师,全职,本科,1-3年,5K-10K,https://jobs.zhaopin.com/CC431768739J00311119802.htm
北京和信创天科技股份有限公司,民营,100-499人,python开发工程师,全职,大专,1-3年,4K-8K,https://jobs.zhaopin.com/CC191196222J00080623913.htm
智线云科技(北京)有限公司武汉分公司,民营,100-499人,Python爬虫工程师,全职,本科,1-3年,10K-15K,https://jobs.zhaopin.com/CC366744530J00324770106.htm
武汉海星通技术股份有限公司,股份制企业,20-99人,python开发工程师,全职,大专,1-3年,7K-10K,https://jobs.zhaopin.com/CC842321320J00332733505.htm
武汉厚溥教育科技有限公司,民营,500-999人,Python讲师,全职,本科,1-3年,10K-15K,https://jobs.zhaopin.com/CC220559727J00346985205.htm
武汉编程猫科技有限公司,民营,1000-9999人,少儿python老师（需要编程基础）,全职,本科,不限,8K-16K,https://jobs.zhaopin.com/CC841622620J00383188207.htm
武汉尚云客网络技术有限公司,合资,100-499人,Python专业讲师,全职,本科,3-5年,12K-20K,https://jobs.zhaopin.com/CC365762789J00338523407.htm
深圳市追越科技有限公司,民营,100-499人,python开发工程师,全职,大专,3-5年,10K-15K,https://jobs.zhaopin.com/CC658418883J00436921101.htm
武汉派生科技有限公司,民营,100-499人, Python开发工程师,全职,本科,1-3年,7.5K-15K,https://jobs.zhaopin.com/446285622250215.htm
武汉心络科技有限公司,不限,20-99人,python开发工程师,全职,本科,3-5年,7K-12K,https://jobs.zhaopin.com/CC812049830J00327441908.htm
康博嘉信息科技(北京)股份有限公司武汉分公司,股份制企业,20-99人,python开发工程师（应届生）,全职,本科,无经验,5K-7K,https://jobs.zhaopin.com/CC772072460J00404583507.htm
康博嘉信息科技(北京)股份有限公司武汉分公司,股份制企业,20-99人,python开发工程师,全职,本科,1-3年,7K-10K,https://jobs.zhaopin.com/CC772072460J00404583007.htm
